%Distance 	View factor
0.01000	0.99803
0.02000	0.99741
0.03000	0.99672
0.04000	0.99591
0.05000	0.99497
0.06000	0.99395
0.07000	0.99275
0.08000	0.99146
0.09000	0.99001
0.10000	0.98844
0.11000	0.98671
0.12000	0.98483
0.13000	0.98279
0.14000	0.98063
0.15000	0.97830
0.16000	0.97582
0.17000	0.97322
0.18000	0.97044
0.19000	0.96756
0.20000	0.96450
0.21000	0.96132
0.22000	0.95801
0.23000	0.95454
0.24000	0.95097
0.25000	0.94719
0.26000	0.94338
0.27000	0.93934
0.28000	0.93525
0.29000	0.93100
0.30000	0.92663
0.31000	0.92212
0.32000	0.91749
0.33000	0.91276
0.34000	0.90791
0.35000	0.90293
0.36000	0.89783
0.37000	0.89265
0.38000	0.88731
0.39000	0.88191
0.40000	0.87638
0.41000	0.87073
0.42000	0.86505
0.43000	0.85921
0.44000	0.85327
0.45000	0.84726
0.46000	0.84116
0.47000	0.83496
0.48000	0.82870
0.49000	0.82231
0.50000	0.81586
0.51000	0.80936
0.52000	0.80275
0.53000	0.79611
0.54000	0.78934
0.55000	0.78255
0.56000	0.77563
0.57000	0.76872
0.58000	0.76173
0.59000	0.75463
0.60000	0.74751
0.61000	0.74038
0.62000	0.73319
0.63000	0.72590
0.64000	0.71861
0.65000	0.71125
0.66000	0.70384
0.67000	0.69641
0.68000	0.68897
0.69000	0.68142
0.70000	0.67394
0.71000	0.66633
0.72000	0.65873
0.73000	0.65113
0.74000	0.64352
0.75000	0.63586
0.76000	0.62825
0.77000	0.62062
0.78000	0.61297
0.79000	0.60528
0.80000	0.59770
0.81000	0.59009
0.82000	0.58246
0.83000	0.57496
0.84000	0.56741
0.85000	0.55997
0.86000	0.55249
0.87000	0.54514
0.88000	0.53783
0.89000	0.53057
0.90000	0.52337
0.91000	0.51626
0.92000	0.50923
0.93000	0.50228
0.94000	0.49545
0.95000	0.48872
0.96000	0.48210
0.97000	0.47557
0.98000	0.46913
0.99000	0.46282
1.00000	0.45658
1.01000	0.45044
1.02000	0.44439
1.03000	0.43845
1.04000	0.43259
1.05000	0.42687
1.06000	0.42121
1.07000	0.41560
1.08000	0.41019
1.09000	0.40480
1.10000	0.39953
1.11000	0.39431
1.12000	0.38917
1.13000	0.38415
1.14000	0.37921
1.15000	0.37432
1.16000	0.36952
1.17000	0.36479
1.18000	0.36016
1.19000	0.35560
1.20000	0.35115
1.21000	0.34672
1.22000	0.34241
1.23000	0.33815
1.24000	0.33396
1.25000	0.32980
1.26000	0.32582
1.27000	0.32179
1.28000	0.31791
1.29000	0.31405
1.30000	0.31022
1.31000	0.30651
1.32000	0.30287
1.33000	0.29923
1.34000	0.29567
1.35000	0.29219
1.36000	0.28875
1.37000	0.28539
1.38000	0.28203
1.39000	0.27876
1.40000	0.27556
1.41000	0.27238
1.42000	0.26926
1.43000	0.26618
1.44000	0.26313
1.45000	0.26020
1.46000	0.25728
1.47000	0.25438
1.48000	0.25151
1.49000	0.24880
1.50000	0.24599
1.51000	0.24330
1.52000	0.24065
1.53000	0.23799
1.54000	0.23544
1.55000	0.23291
1.56000	0.23037
1.57000	0.22795
1.58000	0.22548
1.59000	0.22309
1.60000	0.22073
1.61000	0.21842
1.62000	0.21612
1.63000	0.21385
1.64000	0.21165
1.65000	0.20948
1.66000	0.20733
1.67000	0.20520
1.68000	0.20308
1.69000	0.20101
1.70000	0.19896
1.71000	0.19699
1.72000	0.19503
1.73000	0.19307
1.74000	0.19117
1.75000	0.18929
1.76000	0.18743
1.77000	0.18556
1.78000	0.18376
1.79000	0.18197
1.80000	0.18025
1.81000	0.17848
1.82000	0.17673
1.83000	0.17509
1.84000	0.17339
1.85000	0.17176
1.86000	0.17016
1.87000	0.16853
1.88000	0.16693
1.89000	0.16543
1.90000	0.16382
1.91000	0.16233
1.92000	0.16083
1.93000	0.15940
1.94000	0.15793
1.95000	0.15650
1.96000	0.15505
1.97000	0.15368
1.98000	0.15228
1.99000	0.15095
2.00000	0.14954
2.01000	0.14823
2.02000	0.14697
2.03000	0.14565
2.04000	0.14441
2.05000	0.14311
2.06000	0.14190
2.07000	0.14065
2.08000	0.13942
2.09000	0.13824
2.10000	0.13705
2.11000	0.13591
2.12000	0.13473
2.13000	0.13360
2.14000	0.13243
2.15000	0.13137
2.16000	0.13029
2.17000	0.12920
2.18000	0.12811
2.19000	0.12706
2.20000	0.12598
2.21000	0.12495
2.22000	0.12391
2.23000	0.12293
2.24000	0.12194
2.25000	0.12097
2.26000	0.11997
2.27000	0.11902
2.28000	0.11807
2.29000	0.11711
2.30000	0.11624
2.31000	0.11529
2.32000	0.11437
2.33000	0.11347
2.34000	0.11262
2.35000	0.11172
2.36000	0.11082
2.37000	0.11001
2.38000	0.10915
2.39000	0.10828
2.40000	0.10745
2.41000	0.10664
2.42000	0.10581
2.43000	0.10503
2.44000	0.10426
2.45000	0.10347
2.46000	0.10270
2.47000	0.10191
2.48000	0.10119
2.49000	0.10039
2.50000	0.09967
2.51000	0.09893
2.52000	0.09823
2.53000	0.09753
2.54000	0.09676
2.55000	0.09611
2.56000	0.09542
2.57000	0.09471
2.58000	0.09409
2.59000	0.09339
2.60000	0.09267
2.61000	0.09208
2.62000	0.09133
2.63000	0.09076
2.64000	0.09008
2.65000	0.08947
2.66000	0.08885
2.67000	0.08825
2.68000	0.08765
2.69000	0.08703
2.70000	0.08643
2.71000	0.08583
2.72000	0.08523
2.73000	0.08464
2.74000	0.08408
2.75000	0.08348
2.76000	0.08298
2.77000	0.08235
2.78000	0.08181
2.79000	0.08130
2.80000	0.08075
2.81000	0.08019
2.82000	0.07965
2.83000	0.07917
2.84000	0.07859
2.85000	0.07811
2.86000	0.07760
2.87000	0.07708
2.88000	0.07658
2.89000	0.07610
2.90000	0.07559
2.91000	0.07506
2.92000	0.07459
2.93000	0.07418
2.94000	0.07370
