%Distance 	View factor
0.01000	0.94306
0.02000	0.93615
0.03000	0.92735
0.04000	0.91961
0.05000	0.91150
0.06000	0.90304
0.07000	0.89424
0.08000	0.88511
0.09000	0.87565
0.10000	0.86588
0.11000	0.85582
0.12000	0.84334
0.13000	0.83264
0.14000	0.82168
0.15000	0.81047
0.16000	0.79902
0.17000	0.78734
0.18000	0.77545
0.19000	0.76335
0.20000	0.74858
0.21000	0.73609
0.22000	0.72343
0.23000	0.71063
0.24000	0.69770
0.25000	0.68465
0.26000	0.67149
0.27000	0.65825
0.28000	0.64233
0.29000	0.62887
0.30000	0.61544
0.31000	0.60199
0.32000	0.58851
0.33000	0.57487
0.34000	0.56094
0.35000	0.54959
0.36000	0.53516
0.37000	0.52344
0.38000	0.51157
0.39000	0.49957
0.40000	0.48744
0.41000	0.47520
0.42000	0.46286
0.43000	0.45354
0.44000	0.44105
0.45000	0.43164
0.46000	0.42220
0.47000	0.41273
0.48000	0.40324
0.49000	0.39374
0.50000	0.38422
0.51000	0.37788
0.52000	0.36836
0.53000	0.35885
0.54000	0.35251
0.55000	0.34302
0.56000	0.33671
0.57000	0.33040
0.58000	0.32097
0.59000	0.31470
0.60000	0.30845
0.61000	0.30222
0.62000	0.29600
0.63000	0.28981
0.64000	0.28365
0.65000	0.27751
0.66000	0.27139
0.67000	0.26835
0.68000	0.26228
0.69000	0.25624
0.70000	0.25024
0.71000	0.24725
0.72000	0.24130
0.73000	0.23834
0.74000	0.23245
0.75000	0.22952
0.76000	0.22368
0.77000	0.22078
0.78000	0.21502
0.79000	0.21215
0.80000	0.20930
0.81000	0.20362
0.82000	0.20080
0.83000	0.19800
0.84000	0.19242
0.85000	0.18965
0.86000	0.18690
0.87000	0.18415
0.88000	0.18142
0.89000	0.17871
0.90000	0.17601
0.91000	0.17065
0.92000	0.16799
0.93000	0.16535
0.94000	0.16272
0.95000	0.16011
0.96000	0.15751
0.97000	0.15493
0.98000	0.15236
0.99000	0.14981
1.00000	0.14727
1.01000	0.14727
1.02000	0.14475
1.03000	0.14225
1.04000	0.13977
1.05000	0.13730
1.06000	0.13485
1.07000	0.13241
1.08000	0.13241
1.09000	0.12999
1.10000	0.12759
1.11000	0.12521
1.12000	0.12285
1.13000	0.12285
1.14000	0.12050
1.15000	0.11817
1.16000	0.11817
1.17000	0.11586
1.18000	0.11357
1.19000	0.11130
1.20000	0.11130
1.21000	0.10904
1.22000	0.10681
1.23000	0.10681
1.24000	0.10459
1.25000	0.10459
1.26000	0.10240
1.27000	0.10022
1.28000	0.10022
1.29000	0.09806
1.30000	0.09593
1.31000	0.09593
1.32000	0.09381
1.33000	0.09381
1.34000	0.09171
1.35000	0.09171
1.36000	0.08964
1.37000	0.08964
1.38000	0.08758
1.39000	0.08758
1.40000	0.08555
1.41000	0.08555
1.42000	0.08353
1.43000	0.08353
1.44000	0.08154
1.45000	0.08154
1.46000	0.07957
1.47000	0.07957
1.48000	0.07761
1.49000	0.07761
1.50000	0.07568
1.51000	0.07568
1.52000	0.07378
1.53000	0.07378
1.54000	0.07189
1.55000	0.07189
1.56000	0.07189
1.57000	0.07002
1.58000	0.07002
1.59000	0.06818
1.60000	0.06818
1.61000	0.06818
1.62000	0.06636
1.63000	0.06636
1.64000	0.06456
1.65000	0.06456
1.66000	0.06456
1.67000	0.06278
1.68000	0.06278
1.69000	0.06103
1.70000	0.06103
1.71000	0.06103
1.72000	0.05930
1.73000	0.05930
1.74000	0.05930
1.75000	0.05759
1.76000	0.05759
1.77000	0.05759
1.78000	0.05590
1.79000	0.05590
1.80000	0.05590
1.81000	0.05424
1.82000	0.05424
1.83000	0.05424
1.84000	0.05260
1.85000	0.05260
1.86000	0.05260
1.87000	0.05098
1.88000	0.05098
1.89000	0.05098
1.90000	0.05098
1.91000	0.04939
1.92000	0.04939
1.93000	0.04939
1.94000	0.04782
1.95000	0.04782
1.96000	0.04782
1.97000	0.04782
1.98000	0.04627
1.99000	0.04627
2.00000	0.04627
